id,deviceId,testCase,receivedAtMs,lat,lng,accuracyM,speedMps,headingDeg,motorC,batteryC,referenceC,accel_x,accel_y,accel_z,sampleId,receivedAt
69626b62231aeadabc09166d,esp32-001,teste_eco_10_01_4,1768057697877,-8.055623244498957,-34.95112839602184,9.70515008287835,0,-1,33.31,32.69,30.44,1084,332,165,6,2026-01-10T15:08:18.291Z
69626b63231aeadabc09166f,esp32-001,teste_eco_10_01_4,1768057698899,-8.055621594292925,-34.95112488814514,9.92702671522831,0,-1,33.25,32.69,30.44,1094,333,130,7,2026-01-10T15:08:19.135Z
69626b65231aeadabc091671,esp32-001,teste_eco_10_01_4,1768057700875,-8.055608869615352,-34.95111212873673,9.318965909003225,0.74056607484817,42.66386497872026,33.25,32.75,30.5,1093,334,134,9,2026-01-10T15:08:21.112Z
69626b66231aeadabc091673,esp32-001,teste_eco_10_01_4,1768057701899,-8.055602847914017,-34.95110468494136,8.76389650527572,0.3940896987915039,-1,33.25,32.69,30.5,1094,333,137,10,2026-01-10T15:08:22.416Z
69626b69231aeadabc091675,esp32-001,teste_eco_10_01_4,1768057705016,-8.055605809617362,-34.95110311413309,9.40926494462243,0.5619509220123268,64.79821976735235,33.31,32.69,30.56,1093,332,132,11,2026-01-10T15:08:25.395Z
69626b6b231aeadabc091677,esp32-001,teste_eco_10_01_4,1768057706904,-8.055606000905877,-34.951098975512785,8.996392215859235,0,-1,33.25,32.75,30.56,1101,330,124,15,2026-01-10T15:08:27.207Z
69626b6d231aeadabc091679,esp32-001,teste_eco_10_01_4,1768057708915,-8.055604724061789,-34.95109886803209,8.504045609900842,0.5057222247123718,-1,33.25,32.75,30.56,1099,330,122,17,2026-01-10T15:08:29.285Z
69626b6f231aeadabc09167b,esp32-001,teste_eco_10_01_4,1768057710895,-8.055598946183341,-34.95110484408368,6.69074452037172,0.4520358145236969,-1,33.19,32.75,30.56,1115,325,168,19,2026-01-10T15:08:31.180Z
69626b70231aeadabc09167d,esp32-001,teste_eco_10_01_4,1768057711915,-8.055603261344089,-34.951114878610376,6.394230166574678,0,-1,33.25,32.75,30.56,1071,312,155,20,2026-01-10T15:08:32.200Z
69626b72231aeadabc09167f,esp32-001,teste_eco_10_01_4,1768057713926,-8.055597095442687,-34.951104294028,5.976880868130235,0.8683991576797523,8.287920365266837,33.19,32.75,30.56,1085,318,140,22,2026-01-10T15:08:34.299Z
69626b74231aeadabc091681,esp32-001,teste_eco_10_01_4,1768057715915,-8.055597200622291,-34.95110611256011,8.102519115299591,0.19077003787717886,-1,33.19,32.75,30.56,1084,315,157,24,2026-01-10T15:08:36.204Z
69626b7f231aeadabc091683,esp32-001,teste_eco_10_01_4,1768057726927,-8.055576425357607,-34.951162592407144,12.214462826833737,1.6509773077925833,349.52577667761,33.19,32.75,30.56,1108,330,126,25,2026-01-10T15:08:47.329Z
69626b81231aeadabc091685,esp32-001,teste_eco_10_01_4,1768057728937,-8.055546805465996,-34.951165714433145,10.312946342083627,2.3231157195804584,333.67941517498815,33.19,32.75,30.56,1247,288,225,27,2026-01-10T15:08:49.235Z
69626b83231aeadabc091687,esp32-001,teste_eco_10_01_4,1768057730917,-8.055501378256428,-34.9511801689709,10.490816416983167,2.2138211575378346,356.30545144669634,33.19,32.75,30.56,1045,228,135,29,2026-01-10T15:08:51.322Z
69626b84231aeadabc091689,esp32-001,teste_eco_10_01_4,1768057731968,-8.055474002062347,-34.95117500111692,9.221455238177327,2.6485172459130486,0.3515604797781931,33.19,32.75,30.69,1019,110,130,40,2026-01-10T15:08:52.275Z
69626b86231aeadabc09168b,esp32-001,teste_eco_10_01_4,1768057733976,-8.055411006561132,-34.951178178146975,9.293055971024083,4.4010470866582585,352.5232934049545,33.19,32.75,30.69,1086,211,333,42,2026-01-10T15:08:54.282Z
69626b90231aeadabc09168d,esp32-001,teste_eco_10_01_4,1768057744021,-8.055303299235288,-34.95086656451972,9.743349200582438,7.146124830687274,96.28002279156486,33.19,32.75,30.69,1005,249,159,43,2026-01-10T15:09:04.437Z
69626b92231aeadabc09168f,esp32-001,teste_eco_10_01_4,1768057745976,-8.055297683850794,-34.95079500484537,9.643839317087224,7.4342996586462675,90.30476981881382,33.25,32.75,31,920,501,71,54,2026-01-10T15:09:06.277Z
69626b93231aeadabc091691,esp32-001,teste_eco_10_01_4,1768057747013,-8.055338895423269,-34.95064373529212,9.51753328091068,6.246016994785548,89.27658081054688,33.25,32.75,31.06,841,312,123,55,2026-01-10T15:09:07.325Z
69626b95231aeadabc091693,esp32-001,teste_eco_10_01_4,1768057749006,-8.055289905014876,-34.950588447018056,7.873912526635567,5.828288260250641,93.85075020897257,33.25,32.75,31.12,1433,255,244,57,2026-01-10T15:09:09.412Z
69626b97231aeadabc091695,esp32-001,teste_eco_10_01_4,1768057750985,-8.05530997992491,-34.950473824689055,7.843025389591434,5.458860996573387,94.88369435040407,33.31,32.75,31.19,714,94,-89,59,2026-01-10T15:09:11.317Z
69626b98231aeadabc091697,esp32-001,teste_eco_10_01_4,1768057752006,-8.055302154864508,-34.95042708822623,7.779018076019131,4.9152201355125,82.87106941894423,33.31,32.75,31.25,1125,83,185,60,2026-01-10T15:09:12.328Z
69626b9a231aeadabc091699,esp32-001,teste_eco_10_01_4,1768057754030,-8.0552609477221,-34.9502498699744,8.933196361313575,5.486265151966872,73.03230616481987,33.31,32.75,31.31,1298,136,256,62,2026-01-10T15:09:14.437Z
69626b9c231aeadabc09169b,esp32-001,teste_eco_10_01_4,1768057755993,-8.05523960564853,-34.95019737148155,8.79369802279814,5.812263342668326,69.23902120355983,33.31,32.75,31.38,1152,493,96,64,2026-01-10T15:09:16.316Z
69626b9d231aeadabc09169d,esp32-001,teste_eco_10_01_4,1768057757016,-8.055170779988632,-34.95009996689201,8.344283356654609,6.026935989737818,55.572192387952214,33.38,32.75,31.44,1512,491,336,65,2026-01-10T15:09:17.314Z
69626b9f231aeadabc09169f,esp32-001,teste_eco_10_01_4,1768057759027,-8.055087066272629,-34.950006201900635,8.602837755891752,6.586920536328144,47.686834050761874,33.38,32.75,31.44,774,240,43,67,2026-01-10T15:09:19.443Z
69626ba1231aeadabc0916a1,esp32-001,teste_eco_10_01_4,1768057761005,-8.055036814546972,-34.949968574674315,8.993043934388965,6.429255138096338,41.06060629643391,33.38,32.75,31.44,986,598,150,69,2026-01-10T15:09:21.314Z
69626ba2231aeadabc0916a3,esp32-001,teste_eco_10_01_4,1768057762029,-8.054905881680217,-34.949897858574666,7.827324261322687,7.717269214019185,28.475634368166304,33.38,32.75,31.44,910,426,91,70,2026-01-10T15:09:22.354Z
69626ba3231aeadabc0916a5,esp32-001,teste_eco_10_01_4,1768057763042,-8.054836223706463,-34.94985687131969,7.9940376689837755,8.377756154870804,30.194587197415444,33.38,32.75,31.44,754,343,4,71,2026-01-10T15:09:23.354Z
69626ba5231aeadabc0916a7,esp32-001,teste_eco_10_01_4,1768057765030,-8.054696869731046,-34.949791830135084,7.915949222956149,8.401218461477551,26.88457840203331,33.44,32.75,31.44,1265,109,226,73,2026-01-10T15:09:25.388Z
69626ba7231aeadabc0916a9,esp32-001,teste_eco_10_01_4,1768057767031,-8.054557970861497,-34.94971440613657,8.097487600028069,7.878483286518437,24.55974326571283,33.38,32.75,31.44,1076,223,246,75,2026-01-10T15:09:27.316Z
69626ba9231aeadabc0916ab,esp32-001,teste_eco_10_01_4,1768057769044,-8.054440591777125,-34.94964543794638,8.513959160897985,7.194737175939166,31.025301715580113,33.38,32.75,31.44,1197,156,177,77,2026-01-10T15:09:29.416Z
69626bb4231aeadabc0916ad,esp32-001,teste_eco_10_01_4,1768057780023,-8.054006957983525,-34.94940060716448,13.285470695668641,7.627764778489423,29.763595478374334,33.38,32.75,31.44,1086,152,115,78,2026-01-10T15:09:40.404Z
69626bb6231aeadabc0916af,esp32-001,teste_eco_10_01_4,1768057782040,-8.053853631466293,-34.94931724905759,13.7891431781904,9.309973125559248,28.72825511865893,33.38,32.75,31.38,1084,169,173,80,2026-01-10T15:09:42.448Z
69626bb8231aeadabc0916b1,esp32-001,teste_eco_10_01_4,1768057784041,-8.053687719656509,-34.949225979220806,14.080343749117228,10.154678038317446,28.978685002025486,33.38,32.75,31.25,937,129,145,82,2026-01-10T15:09:44.428Z
69626bba231aeadabc0916b3,esp32-001,teste_eco_10_01_4,1768057786035,-8.053541383385143,-34.94914620835546,14.190957475057495,9.182815755458218,28.982003832182258,33.38,32.75,31.19,1032,331,199,84,2026-01-10T15:09:46.341Z
69626bbb231aeadabc0916b5,esp32-001,teste_eco_10_01_4,1768057787041,-8.053507897723401,-34.949134211111996,14.21088228838811,6.254965516524559,25.2028946771081,33.31,32.75,31.12,1188,199,220,85,2026-01-10T15:09:47.321Z
69626bbc231aeadabc0916b7,esp32-001,teste_eco_10_01_4,1768057788054,-8.053478979544376,-34.94911182658236,14.219650350105427,4.672747307784195,29.871422474772757,33.31,32.69,31.12,1026,454,177,86,2026-01-10T15:09:48.360Z
