id,deviceId,testCase,receivedAtMs,lat,lng,accuracyM,speedMps,headingDeg,motorC,batteryC,referenceC,accel_x,accel_y,accel_z,sampleId,receivedAt
696270a3231aeadabc091ba1,esp32-001,teste_tur_10_01,1768059042886,-8.048451898333164,-34.9524670994302,13.47864162563436,0.03016607107235669,265.49687366045833,36.44,34.06,31.56,1113,217,39,1286,2026-01-10T15:30:43.464Z
696270a5231aeadabc091ba3,esp32-001,teste_tur_10_01,1768059044867,-8.04845188741329,-34.952467038857876,13.285348074670239,0,265.4968736511592,36.5,34.06,31.56,1115,227,40,1288,2026-01-10T15:30:45.161Z
696270a6231aeadabc091ba5,esp32-001,teste_tur_10_01,1768059045885,-8.04844487726186,-34.952494822754936,13.138025782287992,1.5820602936307409,289.43685997280625,36.5,34.06,31.5,1114,221,42,1289,2026-01-10T15:30:46.192Z
696270a8231aeadabc091ba7,esp32-001,teste_tur_10_01,1768059047867,-8.04842831308177,-34.95258277606896,12.726965712058167,4.564336547249568,282.02979954722196,36.5,34.06,31.5,1107,220,64,1291,2026-01-10T15:30:48.272Z
696270a9231aeadabc091ba9,esp32-001,teste_tur_10_01,1768059048894,-8.04842525706061,-34.952652330133944,12.26375529534211,6.063637387622825,275.03717034457765,36.44,34.12,31.44,1111,219,52,1292,2026-01-10T15:30:49.457Z
696270ab231aeadabc091bab,esp32-001,teste_tur_10_01,1768059050894,-8.048438205623205,-34.952774169899136,11.16437613672632,6.674897554285707,261.79848582733274,36.38,34.12,31.44,1102,230,41,1294,2026-01-10T15:30:51.215Z
696270ac231aeadabc091bad,esp32-001,teste_tur_10_01,1768059052005,-8.048547580815026,-34.9528984488868,9.43843831655867,8.395376229515232,231.81897758020955,36.38,34.12,31.44,1120,304,31,1296,2026-01-10T15:30:52.322Z
696270ae231aeadabc091baf,esp32-001,teste_tur_10_01,1768059053934,-8.048611122507472,-34.95294003039027,7.85453391206892,8.143664022988986,221.3893535063562,36.19,34.19,31.44,526,141,36,1307,2026-01-10T15:30:54.337Z
696270b0231aeadabc091bb1,esp32-001,teste_tur_10_01,1768059055943,-8.048739586861794,-34.952976310777444,7.519775658005685,7.199629321551484,187.56982421875,36.12,34.19,31.44,840,534,244,1309,2026-01-10T15:30:56.233Z
696270b2231aeadabc091bb3,esp32-001,teste_tur_10_01,1768059057923,-8.048898998058968,-34.95298959018287,7.355430454773035,8.703931852410884,189.38438939002438,-127,34.19,31.5,1168,-109,97,1311,2026-01-10T15:30:58.288Z
696270b3231aeadabc091bb5,esp32-001,teste_tur_10_01,1768059058943,-8.048980009943602,-34.95300143253382,9.14688951794565,8.668190075931575,189.0053049614713,36.12,34.19,31.44,1130,-53,67,1312,2026-01-10T15:30:59.232Z
696270b5231aeadabc091bb7,esp32-001,teste_tur_10_01,1768059060953,-8.049131675981323,-34.95300894723233,9.190388971317898,7.727891478091268,183.98324550780495,36.19,34.19,31.5,1207,173,-13,1314,2026-01-10T15:31:01.345Z
696270b7231aeadabc091bb9,esp32-001,teste_tur_10_01,1768059062933,-8.049187114033138,-34.95301161368067,8.89388313279234,3.5771023263381787,181.06146540898786,36.25,34.19,31.56,1008,391,45,1316,2026-01-10T15:31:03.223Z
696270b8231aeadabc091bbb,esp32-001,teste_tur_10_01,1768059063951,-8.049219038809396,-34.95302057244258,9.88144095056801,3.5052533939845953,187.8998527860453,36.25,34.19,31.56,1035,410,141,1317,2026-01-10T15:31:04.257Z
696270c0231aeadabc091bbd,esp32-001,teste_tur_10_01,1768059072014,-8.050106501925917,-34.95311496961577,9.36999041856872,13.290080043555314,186.4335098950833,36.31,34.19,31.56,922,477,-8,1318,2026-01-10T15:31:12.439Z
696270c2231aeadabc091bbf,esp32-001,teste_tur_10_01,1768059073973,-8.050220852297707,-34.95312454845952,9.727165030671435,12.827939680269537,185.498170117389,36.25,34.19,31.62,936,-87,141,1327,2026-01-10T15:31:14.279Z
